value,conductor_segments,topology_nodes,topology_edges,endpoints,boundaries_resolved,boundaries_conflicted,wires,electrical_nets,shared_segments,validation_errors,validation_warnings,gaps_bridged,conflicted_endpoint_ids
34,294,692,881,202,33,3,38,9,0,0,29,10,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
36,294,692,881,202,33,3,38,9,0,0,29,10,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
38,294,692,883,198,33,3,38,9,0,0,29,12,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
40,294,692,883,198,33,3,38,9,0,0,29,12,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
42,294,692,883,198,33,3,38,9,0,0,29,12,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
44,294,692,885,194,33,3,37,9,0,0,28,14,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
46,294,692,886,192,33,3,36,9,0,0,27,15,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
48,294,692,887,190,33,3,35,9,0,0,26,16,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
50,294,692,887,190,33,3,35,9,0,0,26,16,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
51,294,692,888,188,33,3,35,8,0,0,25,17,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-c033140e251b7b86;endpoint-candidate-cde07f8718a2b9cd
51.2,294,693,891,185,31,2,35,8,4,0,25,19,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160
51.4,294,693,891,185,31,2,35,8,4,0,25,19,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160
51.6,294,693,891,185,31,2,35,8,4,0,25,19,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160
51.8,294,693,891,185,31,2,35,8,4,0,25,19,endpoint-candidate-0f49557b9296a20e;endpoint-candidate-1e803d5d649d2160
52,294,692,890,184,32,2,34,8,0,0,25,19,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
54,294,692,890,184,32,2,34,8,0,0,25,19,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
56,294,692,890,184,32,2,34,8,0,0,25,19,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
58,294,692,891,182,32,2,34,8,0,0,25,20,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
60,294,692,891,182,32,2,34,8,0,0,25,20,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
65,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
70,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
75,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
80,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
85,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
90,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
95,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
96,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
97,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
98,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
99,294,692,892,180,32,2,34,8,0,0,25,21,endpoint-candidate-b0e3d6bb622a227c;endpoint-candidate-cde07f8718a2b9cd
99.1,294,693,894,179,31,1,34,8,4,0,24,22,endpoint-candidate-0f49557b9296a20e
99.2,294,693,894,179,31,1,34,8,4,0,24,22,endpoint-candidate-0f49557b9296a20e
99.3,294,693,894,179,31,1,34,8,4,0,24,22,endpoint-candidate-0f49557b9296a20e
99.4,294,693,894,179,31,1,34,8,4,0,24,22,endpoint-candidate-0f49557b9296a20e
99.5,294,693,894,179,31,1,34,8,4,0,24,22,endpoint-candidate-0f49557b9296a20e
99.9,294,693,894,179,31,1,34,8,4,0,24,22,endpoint-candidate-0f49557b9296a20e
100,294,692,893,178,32,1,33,8,0,0,24,22,endpoint-candidate-b0e3d6bb622a227c
